name,TNSname,mjd,snr_heim,dm_heim,dm_opt,dm_exgal,ibox,redshift,redshift_type,ra,dec,secure_host,survey,ne2001,dmmax,baryon_sample
fen,FRB 20220204A,59614.72653,16.2,612.6,612.2,561.5,4,0.4,spec,274.2263,69.7225,yes,DSA-110,50.7,1500,True
zach,FRB 20220207C,59617.8085,60.0,263.0,262.3,186.3,2,0.043,spec,310.1995,72.8823,yes,DSA-110,76.0,1500,True
ishita,FRB 20220208A,59618.82963,13.8,440.7,437.0,335.4,16,0.351,spec,322.5751,70.041,yes,DSA-110,101.6,1500,True
alex,FRB 20220307B,59645.84563,11.9,499.3,499.15,371.0,2,0.2507,spec,350.8745,72.1924,yes,DSA-110,128.2,1500,True
whitney,FRB 20220310F,59648.24172,68.4,462.7,462.15,415.9,4,0.479,spec,134.7205,73.4908,yes,DSA-110,46.3,1500,True
mark,FRB 20220319D,59657.93276,41.7,111.0,110.95,40.0,1,0.0111,spec,32.1779,71.0353,yes,DSA-110,139.8,1500,True
erdos,FRB 20220330D,59668.26841,12.9,467.8,468.1,429.5,32,0.3714,spec,163.7512,70.3507,yes,DSA-110,38.6,1500,True
quincy,FRB 20220418A,59687.35573,10.9,624.1,623.45,586.8,4,0.622,spec,219.1056,70.0959,yes,DSA-110,36.7,1500,True
oran,FRB 20220506D,59705.59701,48.9,396.7,396.93,312.4,2,0.3005,spec,318.0448,72.8273,yes,DSA-110,84.5,1500,True
jackie,FRB 20220509G,59708.4945,21.5,270.3,269.5,213.9,2,0.0894,spec,282.67,70.2438,yes,DSA-110,55.6,1500,True
gertrude,FRB 20220726A,59786.69327,12.7,686.2,686.55,597.0,4,0.361,spec,73.9455,69.9295,yes,DSA-110,89.5,1500,True
ansel,FRB 20220825A,59816.25729,15.1,649.8,651.2,572.7,4,0.2414,spec,311.9815,72.5849,yes,DSA-110,78.5,1500,True
ada,FRB 20220831A,59822.31072,19.2,1146.1,1146.25,1019.5,8,0.262,spec,338.6958,70.5388,yes,DSA-110,126.7,1500,True
elektra,FRB 20220914A,59836.14597,9.6,630.7,631.05,576.4,2,0.1138,spec,282.0568,73.3369,yes,DSA-110,54.7,1500,True
etienne,FRB 20220920A,59842.98157,14.4,315.1,315.0,275.1,2,0.1585,spec,240.2571,70.9188,yes,DSA-110,39.9,1500,True
juan,FRB 20221012A,59864.05109,9.4,442.7,442.2,387.8,8,0.284,spec,280.7987,70.5242,yes,DSA-110,54.4,1500,True
koyaanisqatsi,FRB 20221027A,59879.58998,12.1,452.7,452.5,405.3,2,0.229,spec,130.872,72.1009,yes,DSA-110,47.2,1500,True
mifanshan,FRB 20221029A,59881.62373,12.1,1392.0,1391.05,1347.1,4,0.975,spec,141.9635,72.4526,yes,DSA-110,43.9,1500,True
nina,FRB 20221101B,59884.16579,10.1,491.6,490.7,359.5,8,0.2395,spec,342.2158,70.6815,yes,DSA-110,131.2,1500,True
isha,FRB 20221113A,59896.38651,9.9,411.03,411.4,319.7,1,0.2505,spec,71.411,70.3074,yes,DSA-110,91.7,1500,True
charlotte,FRB 20221116A,59899.22478,18.6,643.4,640.6,508.3,16,0.2764,spec,21.211,72.6538,yes,DSA-110,132.3,1500,True
nihari,FRB 20221219A,59932.79298,8.9,706.7,706.7,662.3,16,0.554,spec,257.6298,71.6268,yes,DSA-110,44.4,1500,True
leonidas,FRB 20230124A,59968.63195,10.8,590.6,590.6,552.1,16,0.094,spec,231.917,70.9681,yes,DSA-110,38.5,1500,True
ferb,FRB 20230216A,59991.35651,11.8,828.0,828.0,789.5,8,0.531,spec,156.4722,3.4367,yes,DSA-110,38.5,1500,True
phineas,FRB 20230307A,60010.37886,89.5,608.9,608.9,571.3,4,0.271,spec,177.7816,71.6951,yes,DSA-110,37.6,1500,True
mikayla,FRB 20230501A,60065.65976,20.3,532.5,532.5,406.9,2,0.301,spec,340.0271,70.9221,yes,DSA-110,125.6,1500,True
bruce,FRB 20230521B,60085.63616,9.3,1342.9,1342.9,1204.1,4,1.354,spec,351.036,71.138,yes,DSA-110,138.8,1500,True
fatima,FRB 20230626A,60121.23527,10.8,452.7,451.2,412.0,2,0.327,spec,235.6296,71.1335,yes,DSA-110,39.2,1500,True
tildis,FRB 20230628A,60123.01274,20.5,345.0,345.15,306.0,4,0.1265,spec,166.7867,72.2818,yes,DSA-110,39.1,1500,True
pingu,FRB 20230712A,60137.99608,11.5,587.6,586.96,547.8,2,0.4525,spec,167.3585,72.55778333,yes,DSA-110,39.2,1500,True
johndoe,FRB 20230814B,60170.36093,45.1,696.4,696.4,591.5,8,0.5535,spec,335.9748,73.02590556,yes,DSA-110,104.9,1500,True
mizu,FRB 20231120A,60268.56379,15.5,437.7,438.9,395.1,16,0.07,spec,143.984,73.2847,yes,DSA-110,43.8,1500,True
squanto,FRB 20231123B,60271.82255,12.1,396.9,396.7,356.5,8,0.2625,spec,242.5382,70.7851,yes,DSA-110,40.2,1500,True
gemechu,FRB 20231220A,60298.42283,28.8,491.6,491.2,441.3,2,0.3355,spec,123.9087,73.6599,yes,DSA-110,49.9,1500,True
nikhil,FRB 20240119A,60328.60502,8.9,483.6,483.1,445.2,8,0.37,spec,224.4672,71.6118,yes,DSA-110,37.9,1500,True
pushkin ,FRB 20240123A,60332.17478,11.2,1462.4,1462.0,1371.7,16,0.968,spec,68.2625,71.9453,yes,DSA-110,90.3,1500,True
annie,FRB 20240213A,60353.3734,15.0,358.1,357.4,317.3,2,0.1185,spec,166.1683,74.0754,yes,DSA-110,40.1,1500,True
bubble,FRB 20240215A,60355.67023,17.1,549.5,549.5,501.5,8,0.21,spec,268.4413,70.2324,yes,DSA-110,48.0,1500,True
casey,FRB 20240229A,60369.37095,93.9,491.6,491.15,453.2,2,0.287,spec,169.9835,70.6762,yes,DSA-110,37.9,1500,True
FRB20121102A,FRB20121102A,-1.0,-1.0,558.1,558.1,369.7,-1,0.1927,spec,82.9946,33.1479,yes,Arecibo,188.4,2000,True
FRB20171020A,FRB20171020A,-1.0,-1.0,114.1,114.1,77.6,-1,0.0087,spec,333.8273,-19.6698,yes,ASKAP,36.5,2000,True
FRB20180301A,FRB20180301A,-1.0,-1.0,536.0,536.0,384.4,-1,0.3304,spec,93.2268,4.6711,yes,Parkes,151.6,2000,True
FRB20180916B,FRB20180916B,-1.0,-1.0,348.76,348.76,149.9,-1,0.0337,spec,29.5031,65.7168,yes,CHIME,198.9,2000,True
FRB20180924A,FRB20180924A,-1.0,-1.0,362.16,362.16,321.7,-1,0.3212,spec,326.1052,-40.9,yes,CHIME,40.4,2000,True
FRB20181030A,FRB20181030A,-1.0,-1.0,103.5,103.5,62.4,-1,0.0039,spec,158.5963,73.765,yes,CHIME,41.1,2000,True
FRB20181112A,FRB20181112A,-1.0,-1.0,589.27,589.27,547.5,-1,0.4755,spec,327.3485,-52.9709,yes,ASKAP,41.7,2000,True
FRB20190102C,FRB20190102C,-1.0,-1.0,364.55,364.55,307.1,-1,0.2912,spec,322.4157,-79.4757,yes,ASKAP,57.4,2000,True
FRB20190520B,FRB20190520B,-1.0,-1.0,1210.3,1210.3,1150.2,-1,0.241,spec,240.5178,-11.2881,yes,FAST,60.1,2000,True
FRB20190523A,FRB20190523A,-1.0,-1.0,760.8,760.8,723.6,-1,0.66,spec,207.065,72.4697,yes,DSA-10,37.2,2000,True
FRB20190608B,FRB20190608B,-1.0,-1.0,340.05,340.05,302.9,-1,0.1178,spec,334.0199,-7.8983,yes,ASKAP,37.2,2000,True
FRB20190611B,FRB20190611B,-1.0,-1.0,332.63,332.63,274.8,-1,0.3778,spec,320.7456,-79.3976,no,ASKAP,57.8,2000,True
FRB20190711A,FRB20190711A,-1.0,-1.0,587.9,587.9,531.5,-1,0.5217,spec,329.4193,-80.358,yes,ASKAP,56.4,2000,True
FRB20190714A,FRB20190714A,-1.0,-1.0,504.13,504.13,465.7,-1,0.2365,spec,183.9797,-13.021,yes,ASKAP,38.4,2000,True
FRB20191001A,FRB20191001A,-1.0,-1.0,507.9,507.9,463.7,-1,0.234,spec,323.3513,-54.7477,yes,ASKAP,44.2,2000,True
FRB20191228A,FRB20191228A,-1.0,-1.0,298.0,298.0,265.1,-1,0.243,spec,344.4304,-29.5941,yes,ASKAP,32.9,2000,True
FRB20200120E,FRB20200120E,-1.0,-1.0,87.82,87.82,47.1,-1,0.0008,spec,149.4778,68.8189,yes,CHIME,40.8,2000,True
FRB20200430A,FRB20200430A,-1.0,-1.0,380.0,380.0,352.9,-1,0.161,spec,229.7064,12.3768,yes,ASKAP,27.1,2000,True
FRB20200906A,FRB20200906A,-1.0,-1.0,577.84,577.84,542.0,-1,0.3688,spec,53.4962,-14.0832,yes,ASKAP,35.8,2000,True
FRB20201123A,FRB20201123A,-1.0,-1.0,433.55,433.55,181.1,-1,0.0507,spec,263.67,-50.76,yes,MeerKAT,252.5,2000,True
FRB20201124A,FRB20201124A,-1.0,-1.0,411.0,411.0,271.1,-1,0.0982,spec,77.0146,26.0607,yes,CHIME,139.9,2000,True
FRB20210117A,FRB20210117A,-1.0,-1.0,728.95,728.95,694.7,-1,0.2145,spec,339.9792,-16.1515,yes,ASKAP,34.3,2000,True
FRB20210320C,FRB20210320C,-1.0,-1.0,384.59,384.59,345.4,-1,0.2797,spec,204.4587,-16.1227,yes,ASKAP,39.2,2000,True
FRB20210410D,FRB20210410D,-1.0,-1.0,575.0,575.0,518.8,-1,0.1415,spec,326.0863,-79.3182,yes,MeerKAT,56.2,2000,True
FRB20210807D,FRB20210807D,-1.0,-1.0,251.3,251.3,130.0,-1,0.1293,spec,299.2214,-0.7624,yes,ASKAP,121.3,2000,True
FRB20211127I,FRB20211127I,-1.0,-1.0,234.97,234.97,192.5,-1,0.0469,spec,199.8087,-18.838,yes,ASKAP,42.5,2000,True
FRB20211203C,FRB20211203C,-1.0,-1.0,635.0,635.0,571.4,-1,0.3439,spec,204.5624,-31.3803,yes,ASKAP,63.6,2000,True
FRB20211212A,FRB20211212A,-1.0,-1.0,209.0,209.0,170.2,-1,0.0707,spec,157.3507,1.3605,yes,ASKAP,38.8,2000,True
FRB20220105A,FRB20220105A,-1.0,-1.0,580.0,580.0,558.1,-1,0.2785,spec,208.8042,22.4661,yes,ASKAP,21.9,2000,True
FRB20220610A,FRB20220610A,-1.0,-1.0,1458.1,1458.1,1427.2,-1,1.015,spec,351.0732,-33.5137,yes,ASKAP,30.9,2000,True
